threshold	merge_dist	min_width	num_peaks_tss_overlap_plus	num_peaks_tss_overlap_minus	num_peaks_plus	num_peaks_minus	plus_positive_overlap	plus_negative_overlap	minus_positive_overlap	minus_negative_overlap
0.5	3	20	933	910	1121	1093	431	502	449	461
0.51	3	20	947	931	1144	1122	433	514	456	475
0.52	3	20	963	953	1165	1149	438	525	460	493
0.53	3	20	976	963	1195	1166	439	537	462	501
0.54	3	20	1003	979	1232	1195	445	558	465	514
0.55	3	20	1025	1000	1273	1232	449	576	468	532
0.56	3	20	1058	1028	1317	1276	459	599	472	556
0.57	3	20	1092	1056	1362	1320	467	625	476	580
0.58	3	20	1117	1094	1413	1367	473	644	488	606
0.59	3	20	1155	1137	1474	1441	478	677	496	641
0.6	3	20	1204	1159	1542	1486	486	718	504	655
0.61	3	20	1263	1213	1648	1580	496	767	515	698
0.62	3	20	1294	1265	1711	1656	500	794	525	740
0.63	3	20	1347	1333	1797	1770	503	844	532	801
0.64	3	20	1409	1395	1906	1896	513	896	541	854
0.65	3	20	1480	1465	2038	2021	524	956	550	915
0.66	3	20	1563	1523	2181	2156	529	1034	559	964
0.67	3	20	1633	1585	2333	2296	539	1094	567	1018
0.68	3	20	1699	1663	2505	2465	547	1152	576	1087
0.69	3	20	1789	1758	2692	2679	560	1229	587	1171
0.7	3	20	1888	1861	2899	2863	570	1318	594	1267
0.71	3	20	1978	1958	3149	3109	579	1399	604	1354
0.72	3	20	2108	2065	3417	3395	592	1516	612	1453
0.73	3	20	2223	2191	3719	3707	599	1624	620	1571
0.74	3	20	2348	2289	4023	4042	609	1739	634	1655
0.75	3	20	2467	2406	4373	4392	622	1845	645	1761
0.76	3	20	2603	2530	4755	4774	629	1974	649	1881
0.77	3	20	2734	2654	5227	5218	639	2095	653	2001
0.78	3	20	2866	2787	5713	5681	645	2221	665	2122
0.79	3	20	2979	2908	6189	6183	648	2331	670	2238
0.8	3	20	3106	3018	6741	6672	658	2448	678	2340
0.81	3	20	3217	3150	7223	7284	662	2555	686	2464
0.82	3	20	3348	3238	7810	7826	674	2674	685	2553
0.83	3	20	3445	3308	8420	8447	677	2768	691	2617
0.84	3	20	3510	3382	8938	9022	682	2828	698	2684
0.85	3	20	3563	3411	9411	9543	686	2877	699	2712
0.86	3	20	3584	3443	9830	10010	686	2898	702	2741
0.87	3	20	3565	3415	10197	10420	686	2879	708	2707
0.88	3	20	3534	3395	10440	10758	688	2846	709	2686
0.89	3	20	3521	3348	10645	10958	688	2833	711	2637
0.9	3	20	3486	3278	10724	11046	688	2798	713	2565
0.91	3	20	3379	3175	10673	10890	693	2686	716	2459
0.92	3	20	3298	3052	10483	10652	694	2604	718	2334
0.93	3	20	3171	2917	10271	10391	693	2478	715	2202
0.94	3	20	3052	2800	9923	10106	692	2360	710	2090
0.95	3	20	2915	2677	9564	9708	691	2224	709	1968
0.96	3	20	2770	2556	9032	9187	689	2081	708	1848
0.97	3	20	2630	2424	8624	8535	686	1944	706	1718
0.98	3	20	2480	2322	7998	8035	684	1796	704	1618
0.99	3	20	2324	2197	7444	7489	681	1643	702	1495
1.0	3	20	2192	2070	6945	6965	683	1509	701	1369
1.01	3	20	2083	1956	6348	6432	678	1405	696	1260
1.02	3	20	1981	1855	5852	5833	678	1303	695	1160
1.03	3	20	1882	1761	5389	5356	676	1206	693	1068
1.04	3	20	1812	1683	4980	4844	674	1138	690	993
1.05	3	20	1723	1614	4629	4437	673	1050	685	929
1.06	3	20	1639	1562	4301	4128	669	970	685	877
1.07	3	20	1563	1498	3987	3817	665	898	688	810
1.08	3	20	1479	1452	3684	3592	657	822	685	767
1.09	3	20	1414	1397	3426	3327	655	759	681	716
1.1	3	20	1363	1348	3219	3131	651	712	679	669
1.11	3	20	1311	1299	2994	2925	645	666	670	629
1.12	3	20	1266	1259	2834	2750	643	623	672	587
1.13	3	20	1233	1221	2674	2579	643	590	667	554
1.14	3	20	1210	1192	2554	2444	641	569	661	531
1.15	3	20	1181	1164	2409	2364	638	543	659	505
1.16	3	20	1152	1140	2288	2234	637	515	653	487
1.17	3	20	1121	1117	2177	2126	636	485	649	468
1.18	3	20	1094	1090	2073	2053	633	461	641	449
